URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-6sWWpLk/0/dbafac9d/L/Osmia(2) .5-14-21.Finley-L.jpg,,,100%,image-web,,,Osmia,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/128631877/large.jpg,,,100%,image-web,,,Osmia,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/129006589/large.jpg,,,100%,image-web,,,Osmia,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-ZT5JqJS/0/52453f4a/L/0523205530-L.jpg,,,100%,image-web,,,Osmia,,,,,
#,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-8vPdH3x/0/5dd65a49/X2/wing%20Osmia%20inurbana-X2.jpg,,,100%,image-web,,Forewing of <i>Osmia inurbana</>,Osmia,,,,,
#,,,,,,,,,,,,
resources/text/TaxonAnthidium.html,,,100%,html-local,,"Description, abundance, diversity",Anthidium,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-hMD4Tsn/0/c86f1d09/L/ANTH.CALAPOOIA2-L.jpg,,,100%,image-web,,,Anthidium,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-vmgbPkt/0/150373e7/M/08082112080-M.jpg,,,100%,image-web,,,Anthidium,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-jk3nLpR/0/933149c1/X2/wing%20anthidium%20utahense-X2.jpg,,,100%,image-web,,Forewing of <i>Anthidium utahense</>,Anthidium,,,,,
# Dianthidium,,,,,,,,,,,,
resources/text/TaxonDianthidium.html,,,100%,html-local,,"Description, abundance, diversity",Dianthidium,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-BtkJN87/0/ec9c24f5/L/Dianthidium.parvum.johnson-L.jpg,,,100%,image-web,,,Dianthidium,,,,,
# Hoplitis,,,,,,,,,,,,
resources/text/TaxonHoplitis.html,,,100%,html-local,,"Description, abundance, diversity",Hoplitis,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-6n8JW6B/0/d3259ee5/L/hoplitis.kp-L.jpg,,,100%,image-web,,,Hoplitis,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-NkHgkgs/0/22f2d678/M/Hopl.jefferson-M.jpg,,,100%,image-web,,,Hoplitis,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-QbM2trL/0/df546c61/X2/wing%20Hoplitis%20producta-X2.jpg,,,100%,image-web,,Forewing of <i>Hoplitis</>,Hoplitis,,,,,
# Stelis,,,,,,,,,,,,
resources/text/TaxonStelis.html,,,100%,html-local,,"Description, abundance, diversity",Stelis,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-qTXxpSt/0/16e9abce/L/Stelis.ankeny-L.jpg,,,100%,image-web,,,Stelis,,,,,
#,,,,,,,,,,,,
# Coelioxys,,,,,,,,,,,,
resources/text/TaxonCoelioxys.html,,,100%,html-local,,"Description, abundance, diversity",Coelioxys,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-ZXNQkmP/0/e6184d42/L/coel.calapooia-L.jpg,,,100%,image-web,,,Coelioxys,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Hq6F7Jf/0/8402ffe8/M/061319_2355-M.jpg,,,100%,image-web,,,Coelioxys,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-8wnXmL8/0/e40c8db7/L/Coel.speedway-L.jpg,,,100%,image-web,,,Coelioxys,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-q9Q6hDM/0/b2e063c0/X2/wing%20Coelioxys%20octo-X2.jpg,,,100%,image-web,,Forewing of <i>Coelioxys</>,Coelioxys,,,,,
# Nomada,,,,,,,,,,,,
resources/text/TaxonNomada.html,,,100%,html-local,,"Description, abundance, diversity",Nomada,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-3hxpbtb/0/f7aadcd4/L/Nomada.Ankeny-L.jpg,,,100%,image-web,,,Nomada,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-sfTmQmz/0/f5fe8137/L/053019_2022-L.jpg,,,100%,image-web,,,Nomada,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-BwVKNqc/0/85859fd3/L/053019_2064-L.jpg,,,100%,image-web,,,Nomada,,,,,
